Wrote extended fusion json: /home/ryreu/atlas/PracticeTagging/checkpoints/reco_teacher_joint_fusion_6model_150k75k150k/model2_joint_delta/model2_joint_delta005_150k75k150k_seed0/fusion_hlt_joint31_all_stackers_rolling55.json
Total models_order: 55
============================================================
Precompute 55-Model Dev-Pool Scores
Fusion json:      checkpoints/reco_teacher_joint_fusion_6model_150k75k150k/model2_joint_delta/model2_joint_delta005_150k75k150k_seed0/fusion_hlt_joint31_all_stackers_rolling55.json
Train path:       ./data
Dev offset/n:     375000/1000000
Max constits:     100
Batch/device:     512/cuda
Weight floors:    joint=1e-4, stageA=0.03
============================================================
 python precompute_hlt_joint55_devpool_scores.py --fusion_json checkpoints/reco_teacher_joint_fusion_6model_150k75k150k/model2_joint_delta/model2_joint_delta005_150k75k150k_seed0/fusion_hlt_joint31_all_stackers_rolling55.json --train_path ./data --dev_offset_jets 375000 --dev_n_jets 1000000 --max_constits 100 --hlt_seed -1 --batch_size 512 --device cuda --corrected_weight_floor_joint 1e-4 --corrected_weight_floor_stagea 0.03
Loading offline constituents...
Generating pseudo-HLT...
Computing HLT features...
Device: cuda
Models to precompute: 55
Dev pool size: 1000000
[01/55] hlt                                                family=hlt                    auc_dev=0.921498 auc_test_src=0.921389 t=0.3s
[02/55] joint_delta                                        family=joint                  auc_dev=0.924777 auc_test_src=0.924567 t=264.7s
[03/55] reco_teacher_s09                                   family=stagea_reco_teacher    auc_dev=0.919780 auc_test_src=0.919546 t=213.2s
[04/55] corrected_s01                                      family=stagea_corrected_only  auc_dev=0.919743 auc_test_src=0.919759 t=215.0s
[05/55] joint_s01                                          family=joint                  auc_dev=0.862315 auc_test_src=0.921935 t=264.4s
[06/55] concat_corrected                                   family=stagea_corrected_only  auc_dev=0.921584 auc_test_src=0.921541 t=215.0s
[07/55] residual_m7                                        family=stagea_residual        auc_dev=0.922767 auc_test_src=0.922747 t=262.3s
[08/55] direct_residual_m8                                 family=stagea_residual        auc_dev=0.921938 auc_test_src=0.921993 t=262.4s
[09/55] offdrop_low                                        family=stagea_residual        auc_dev=0.922568 auc_test_src=0.922425 t=262.2s
[10/55] offdrop_mid                                        family=stagea_residual        auc_dev=0.922794 auc_test_src=0.922668 t=262.1s
[11/55] offdrop_high                                       family=stagea_residual        auc_dev=0.923443 auc_test_src=0.923432 t=262.0s
[12/55] corrected_k40                                      family=stagea_corrected_only  auc_dev=0.920651 auc_test_src=0.920873 t=215.0s
[13/55] corrected_k60                                      family=stagea_corrected_only  auc_dev=0.921255 auc_test_src=0.921174 t=215.1s
[14/55] corrected_k80                                      family=stagea_corrected_only  auc_dev=0.919274 auc_test_src=0.919251 t=215.0s
[15/55] antioverlap_m10                                    family=stagea_corrected_only  auc_dev=0.919040 auc_test_src=0.918812 t=214.8s
[16/55] feat_noangle_m11                                   family=stagea_corrected_only  auc_dev=0.863808 auc_test_src=0.863136 t=215.2s
[17/55] feat_noscale_m12                                   family=stagea_corrected_only  auc_dev=0.876515 auc_test_src=0.876794 t=215.2s
[18/55] feat_coreshape_m13                                 family=stagea_corrected_only  auc_dev=0.887472 auc_test_src=0.886878 t=214.8s
[19/55] joint_delta000                                     family=joint                  auc_dev=0.924760 auc_test_src=0.924545 t=264.3s
[20/55] joint_delta020                                     family=joint                  auc_dev=0.924806 auc_test_src=0.924599 t=264.6s
[21/55] dual_m11_noangle                                   family=dualreco_dualview      auc_dev=0.907861 auc_test_src=0.869391 t=425.0s
[22/55] dual_m12_noscale                                   family=dualreco_dualview      auc_dev=0.904619 auc_test_src=0.885004 t=425.3s
[23/55] dual_m13_coreshape                                 family=dualreco_dualview      auc_dev=0.910675 auc_test_src=0.891836 t=425.3s
[24/55] dual_m15_offdrop_low                               family=dualreco_dualview      auc_dev=0.921838 auc_test_src=0.922446 t=424.9s
[25/55] dual_m15_offdrop_mid                               family=dualreco_dualview      auc_dev=0.922511 auc_test_src=0.922849 t=425.0s
[26/55] dual_m15_offdrop_high                              family=dualreco_dualview      auc_dev=0.923009 auc_test_src=0.922468 t=424.9s
[27/55] dual_m16_topk40                                    family=dualreco_dualview      auc_dev=0.922194 auc_test_src=0.921069 t=422.7s
[28/55] dual_m16_topk60                                    family=dualreco_dualview      auc_dev=0.921717 auc_test_src=0.921463 t=422.0s
[29/55] dual_m16_topk80                                    family=dualreco_dualview      auc_dev=0.920646 auc_test_src=0.919843 t=421.8s
[30/55] dual_m17_antioverlap                               family=dualreco_dualview      auc_dev=0.921299 auc_test_src=0.921108 t=421.8s
[31/55] dual_m19_basic                                     family=dualreco_dualview      auc_dev=0.922235 auc_test_src=0.921363 t=422.1s
