file_class,canonical_class,count,fraction,n_events
HToBB,QCD,0,0.0,1000000
HToBB,Hbb,1000000,1.0,1000000
HToBB,Hcc,0,0.0,1000000
HToBB,Hgg,0,0.0,1000000
HToBB,H4q,0,0.0,1000000
HToBB,Hqql,0,0.0,1000000
HToBB,Zqq,0,0.0,1000000
HToBB,Wqq,0,0.0,1000000
HToBB,Tbqq,0,0.0,1000000
HToBB,Tbl,0,0.0,1000000
HToCC,QCD,0,0.0,1000000
HToCC,Hbb,0,0.0,1000000
HToCC,Hcc,1000000,1.0,1000000
HToCC,Hgg,0,0.0,1000000
HToCC,H4q,0,0.0,1000000
HToCC,Hqql,0,0.0,1000000
HToCC,Zqq,0,0.0,1000000
HToCC,Wqq,0,0.0,1000000
HToCC,Tbqq,0,0.0,1000000
HToCC,Tbl,0,0.0,1000000
HToGG,QCD,0,0.0,1000000
HToGG,Hbb,0,0.0,1000000
HToGG,Hcc,0,0.0,1000000
HToGG,Hgg,1000000,1.0,1000000
HToGG,H4q,0,0.0,1000000
HToGG,Hqql,0,0.0,1000000
HToGG,Zqq,0,0.0,1000000
HToGG,Wqq,0,0.0,1000000
HToGG,Tbqq,0,0.0,1000000
HToGG,Tbl,0,0.0,1000000
HToWW2Q1L,QCD,0,0.0,1000000
HToWW2Q1L,Hbb,0,0.0,1000000
HToWW2Q1L,Hcc,0,0.0,1000000
HToWW2Q1L,Hgg,0,0.0,1000000
HToWW2Q1L,H4q,0,0.0,1000000
HToWW2Q1L,Hqql,1000000,1.0,1000000
HToWW2Q1L,Zqq,0,0.0,1000000
HToWW2Q1L,Wqq,0,0.0,1000000
HToWW2Q1L,Tbqq,0,0.0,1000000
HToWW2Q1L,Tbl,0,0.0,1000000
HToWW4Q,QCD,0,0.0,1000000
HToWW4Q,Hbb,0,0.0,1000000
HToWW4Q,Hcc,0,0.0,1000000
HToWW4Q,Hgg,0,0.0,1000000
HToWW4Q,H4q,1000000,1.0,1000000
HToWW4Q,Hqql,0,0.0,1000000
HToWW4Q,Zqq,0,0.0,1000000
HToWW4Q,Wqq,0,0.0,1000000
HToWW4Q,Tbqq,0,0.0,1000000
HToWW4Q,Tbl,0,0.0,1000000
TTBar,QCD,0,0.0,1000000
TTBar,Hbb,0,0.0,1000000
TTBar,Hcc,0,0.0,1000000
TTBar,Hgg,0,0.0,1000000
TTBar,H4q,0,0.0,1000000
TTBar,Hqql,0,0.0,1000000
TTBar,Zqq,0,0.0,1000000
TTBar,Wqq,0,0.0,1000000
TTBar,Tbqq,1000000,1.0,1000000
TTBar,Tbl,0,0.0,1000000
TTBarLep,QCD,0,0.0,1000000
TTBarLep,Hbb,0,0.0,1000000
TTBarLep,Hcc,0,0.0,1000000
TTBarLep,Hgg,0,0.0,1000000
TTBarLep,H4q,0,0.0,1000000
TTBarLep,Hqql,0,0.0,1000000
TTBarLep,Zqq,0,0.0,1000000
TTBarLep,Wqq,0,0.0,1000000
TTBarLep,Tbqq,0,0.0,1000000
TTBarLep,Tbl,1000000,1.0,1000000
WToQQ,QCD,0,0.0,1000000
WToQQ,Hbb,0,0.0,1000000
WToQQ,Hcc,0,0.0,1000000
WToQQ,Hgg,0,0.0,1000000
WToQQ,H4q,0,0.0,1000000
WToQQ,Hqql,0,0.0,1000000
WToQQ,Zqq,0,0.0,1000000
WToQQ,Wqq,1000000,1.0,1000000
WToQQ,Tbqq,0,0.0,1000000
WToQQ,Tbl,0,0.0,1000000
ZJetsToNuNu,QCD,1000000,1.0,1000000
ZJetsToNuNu,Hbb,0,0.0,1000000
ZJetsToNuNu,Hcc,0,0.0,1000000
ZJetsToNuNu,Hgg,0,0.0,1000000
ZJetsToNuNu,H4q,0,0.0,1000000
ZJetsToNuNu,Hqql,0,0.0,1000000
ZJetsToNuNu,Zqq,0,0.0,1000000
ZJetsToNuNu,Wqq,0,0.0,1000000
ZJetsToNuNu,Tbqq,0,0.0,1000000
ZJetsToNuNu,Tbl,0,0.0,1000000
ZToQQ,QCD,0,0.0,1000000
ZToQQ,Hbb,0,0.0,1000000
ZToQQ,Hcc,0,0.0,1000000
ZToQQ,Hgg,0,0.0,1000000
ZToQQ,H4q,0,0.0,1000000
ZToQQ,Hqql,0,0.0,1000000
ZToQQ,Zqq,1000000,1.0,1000000
ZToQQ,Wqq,0,0.0,1000000
ZToQQ,Tbqq,0,0.0,1000000
ZToQQ,Tbl,0,0.0,1000000
