file_class,n_events,frac_QCD,frac_Hbb,frac_Hcc,frac_Hgg,frac_H4q,frac_Hqql,frac_Zqq,frac_Wqq,frac_Tbqq,frac_Tbl,count_QCD,count_Hbb,count_Hcc,count_Hgg,count_H4q,count_Hqql,count_Zqq,count_Wqq,count_Tbqq,count_Tbl,top_canonical_label,top_canonical_frac
HToBB,1000000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1000000,0,0,0,0,0,0,0,0,Hbb,1.0
HToCC,1000000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1000000,0,0,0,0,0,0,0,Hcc,1.0
HToGG,1000000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1000000,0,0,0,0,0,0,Hgg,1.0
HToWW2Q1L,1000000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1000000,0,0,0,0,Hqql,1.0
HToWW4Q,1000000,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1000000,0,0,0,0,0,H4q,1.0
TTBar,1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,1000000,0,Tbqq,1.0
TTBarLep,1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,1000000,Tbl,1.0
WToQQ,1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1000000,0,0,Wqq,1.0
ZJetsToNuNu,1000000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000,0,0,0,0,0,0,0,0,0,QCD,1.0
ZToQQ,1000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1000000,0,0,0,Zqq,1.0
