feature,class,count,mean,std,min,p01,p05,p25,p50,p75,p95,p99,max
part_pt_log,QCD,250000,0.13769088685512543,0.9098305702209473,-2.9953408241271973,-1.3110881865024566,-1.128090077638626,-0.5585268437862396,0.006206875899806619,0.7149853110313416,1.854449892044067,2.517420840263368,3.4471724033355713
part_e_log,QCD,250000,0.1668672114610672,0.9133186936378479,-2.1973021030426025,-1.3871706306934357,-1.1220281898975373,-0.5254094451665878,0.0280411122366786,0.7387885451316833,1.8903910398483266,2.588844151496889,3.680727958679199
part_logptrel,QCD,250000,0.10668997466564178,0.9137064218521118,-2.6553664207458496,-1.4301115095615387,-1.16044984459877,-0.5878304690122604,-0.022465634159743786,0.6868045330047607,1.8276804029941558,2.4912865734100342,3.280832290649414
part_logerel,QCD,250000,0.11396386474370956,0.9039877653121948,-2.147493600845337,-1.4009756398200988,-1.1422672033309937,-0.5739621520042419,-0.01977331656962633,0.6885541826486588,1.8229234039783477,2.477667863368989,3.256312370300293
part_deltaR,QCD,250000,0.045587100088596344,0.8352459073066711,-0.7995928525924683,-0.779483151435852,-0.7447776019573211,-0.5838862955570221,-0.2591892182826996,0.43611565232276917,1.8268237352371215,2.329189853668214,5.0
charge,QCD,250000,0.004604000132530928,0.6994045972824097,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0
isChargedHadron,QCD,250000,0.4864479899406433,0.49981626868247986,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
isNeutralHadron,QCD,250000,0.10781200230121613,0.31014284491539,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
isPhoton,QCD,250000,0.4023439884185791,0.49037060141563416,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
isElectron,QCD,250000,0.004207999911159277,0.06473246961832047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
isMuon,QCD,250000,0.0008759999764151871,0.029584331437945366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
d0_tanh,QCD,250000,-0.00015819248801562935,0.17181989550590515,-1.0,-0.9998602843284607,-0.04741187337785959,0.0,0.0,0.0,0.047204071842133974,0.9997505754232408,1.0
d0err_clip,QCD,250000,0.01586851105093956,0.02944771759212017,0.0,0.0,0.0,0.0,0.0,0.023600000888109207,0.05530000105500221,0.12300000339746475,0.6970000267028809
dz_tanh,QCD,250000,-0.00030816596699878573,0.18694880604743958,-1.0,-0.997026224732399,-0.10468459576368332,0.0,0.0,0.0,0.10301626138389107,0.9960625463724139,1.0
dzerr_clip,QCD,250000,0.040090397000312805,0.09094373881816864,0.0,0.0,0.0,0.0,0.0,0.04500000178813934,0.13989999890327454,0.436599999666214,1.0
d_eta,QCD,250000,-0.0007539576618000865,0.22400864958763123,-2.906482458114624,-0.6381681668758392,-0.36532590091228484,-0.0701178964227438,0.00010052323341369629,0.06990927457809448,0.35774447619914973,0.6306164485216144,2.992091417312622
d_phi,QCD,250000,-5.668095400324091e-05,0.2035372108221054,-0.9662138819694519,-0.6076245099306107,-0.36112114489078523,-0.07157367467880249,0.00016710162162780762,0.07157391123473644,0.35855869054794265,0.6031536382436757,0.9518763422966003
part_pt_log,Hbb,250000,0.1576467752456665,0.8388028144836426,-2.6409075260162354,-1.281547737121582,-1.0890653789043425,-0.48783109337091446,0.08008302375674248,0.7288509458303452,1.6625333428382862,2.2059373569488536,3.318298101425171
part_e_log,Hbb,250000,0.18416596949100494,0.8472887277603149,-2.067356586456299,-1.3702047204971313,-1.0810286462306977,-0.46184735000133514,0.10181057453155518,0.7564805001020432,1.7054181277751916,2.289149141311648,3.595668077468872
part_logptrel,Hbb,250000,0.14528712630271912,0.8367451429367065,-2.5050106048583984,-1.3528394711017608,-1.0955353915691375,-0.4953361749649048,0.07036492601037025,0.7187288403511047,1.644115513563156,2.178344695568087,3.029444694519043
part_logerel,Hbb,250000,0.14351961016654968,0.8292567133903503,-2.1205391883850098,-1.3432677400112152,-1.0886076927185058,-0.4919555187225342,0.0671328753232956,0.7091604918241501,1.6311787843704222,2.1608473944664004,3.0877041816711426
part_deltaR,Hbb,250000,0.11410615593194962,0.6692689061164856,-0.7974470257759094,-0.7146096980571747,-0.6126758426427841,-0.3584543243050575,-0.06473031640052795,0.3949602544307709,1.5102042436599725,2.2118903088569652,5.0
charge,Hbb,250000,-0.0006399999838322401,0.6952406764030457,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0
isChargedHadron,Hbb,250000,0.4650079905986786,0.49877408146858215,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
isNeutralHadron,Hbb,250000,0.10010000318288803,0.3001333177089691,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
isPhoton,Hbb,250000,0.41503599286079407,0.49272823333740234,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
isElectron,Hbb,250000,0.011888000182807446,0.10838207602500916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
isMuon,Hbb,250000,0.0088919997215271,0.09387722611427307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
d0_tanh,Hbb,250000,-0.00011471079778857529,0.23759016394615173,-1.0,-0.999996126294136,-0.2785591498017311,0.0,0.0,0.0,0.2759918630123135,0.9999944579601288,1.0
d0err_clip,Hbb,250000,0.014046638272702694,0.025229712948203087,0.0,0.0,0.0,0.0,0.0,0.021400000900030136,0.04879999905824661,0.10090000182390213,0.6970000267028809
dz_tanh,Hbb,250000,-0.000677611562423408,0.26588454842567444,-1.0,-0.9997654873132705,-0.4076308339834213,0.0,0.0,0.0,0.3983570933341978,0.9996507501602173,1.0
dzerr_clip,Hbb,250000,0.03502211719751358,0.0759493038058281,0.0,0.0,0.0,0.0,0.0,0.04430000111460686,0.11169999837875366,0.3711000084877014,1.0
d_eta,Hbb,250000,-3.4225242416141555e-05,0.20716477930545807,-2.869943618774414,-0.5547801560163498,-0.31517894119024276,-0.10366883873939514,-0.00042948126792907715,0.10315907374024391,0.31703630685806256,0.559366984963418,2.871786117553711
d_phi,Hbb,250000,0.000387968379072845,0.1997493952512741,-0.9314559698104858,-0.554738951921463,-0.3294397950172424,-0.10730843618512154,3.793835639953613e-05,0.10718635655939579,0.3324349179863928,0.5562096464633942,0.8554324507713318
part_pt_log,Hcc,250000,0.1883765161037445,0.8633763194084167,-2.472827434539795,-1.2813564574718475,-1.0840626060962677,-0.4766206815838814,0.09943560138344765,0.7730089724063873,1.7551137864589692,2.3001012134552012,3.20595645904541
part_e_log,Hcc,250000,0.2140810191631317,0.8691789507865906,-2.0716171264648438,-1.3676043891906737,-1.0708979368209839,-0.4502224326133728,0.12159640714526176,0.797682374715805,1.7937933921813964,2.3600423550605782,3.6298935413360596
part_logptrel,Hcc,250000,0.17493796348571777,0.8590142130851746,-2.5931334495544434,-1.361773372888565,-1.0936539053916932,-0.4810447171330452,0.09046568721532822,0.7573225051164627,1.729889053106308,2.2565906214714055,3.1611781120300293
