feature,class,count,mean,std,min,p01,p05,p25,p50,p75,p95,p99,max
part_pt_log,QCD,50000,2.3275818824768066,0.3864094316959381,1.0143393278121948,1.4400461268424989,1.675094324350357,2.058943033218384,2.3381482362747192,2.6011176705360413,2.9514245986938468,3.164035313129425,3.5357537269592285
part_e_log,QCD,50000,2.3389878273010254,0.44427740573883057,0.8164914846420288,1.3536808359622956,1.6071907341480256,2.0311349034309387,2.3368364572525024,2.641951262950897,3.081526923179626,3.370868058204652,3.9274914264678955
part_logptrel,QCD,50000,2.307508945465088,0.36894455552101135,1.0451995134353638,1.4626010656356812,1.677468514442444,2.0509833097457886,2.320106267929077,2.573795974254608,2.9008955717086793,3.0827943658828736,3.2899997234344482
part_logerel,QCD,50000,2.3002071380615234,0.3731640875339508,0.9425075650215149,1.4353762412071227,1.6633091866970062,2.0418381094932556,2.3150047063827515,2.568768560886383,2.897925817966461,3.0806640338897706,3.2899997234344482
raw_dR,QCD,50000,0.06029289960861206,0.07550714164972305,0.0,0.0016840526927262545,0.004068553820252419,0.0132134472951293,0.03230654262006283,0.07559272088110447,0.2190672405064102,0.36959312558174173,0.6854045391082764
charge,QCD,50000,0.04610000178217888,0.7051345705986023,-1.0,-1.0,-1.0,0.0,0.0,1.0,1.0,1.0,1.0
isChargedHadron,QCD,50000,0.49470001459121704,0.4999719560146332,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
isNeutralHadron,QCD,50000,0.21507999300956726,0.4108778238296509,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
isPhoton,QCD,50000,0.28558000922203064,0.4516901671886444,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
isElectron,QCD,50000,0.002400000113993883,0.048930976539850235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
isMuon,QCD,50000,0.002240000059828162,0.0472755990922451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
d0_tanh,QCD,50000,0.0008173506357707083,0.06611160188913345,-1.0,-0.0358994011580944,-0.015161192556843162,0.0,0.0,0.00011678673581627663,0.01581859588623045,0.05098645936697748,1.0
d0err_clip,QCD,50000,0.005463984329253435,0.005534123629331589,0.0,0.0,0.0,0.0,0.0,0.010999999940395355,0.013000000268220901,0.014399999752640724,0.01759999990463257
dz_tanh,QCD,50000,0.00029749024542979896,0.062354862689971924,-0.9999469518661499,-0.12073937155306338,-0.04853582512587309,0.0,0.0,0.0,0.04840772338211536,0.1304600130021573,0.99977046251297
dzerr_clip,QCD,50000,0.018342070281505585,0.02150118537247181,0.0,0.0,0.0,0.0,0.0,0.03180000185966492,0.07500000298023224,0.08500000089406967,0.08820000290870667
d_eta,QCD,50000,-0.00017862682580016553,0.06965932250022888,-0.627382218837738,-0.22960595414042473,-0.10243187025189399,-0.01771627366542816,3.696605563163757e-05,0.017651095986366272,0.10059239268302905,0.2279423767328265,0.6356919407844543
d_phi,QCD,50000,-0.0003253616450820118,0.06696269661188126,-0.6093975901603699,-0.22307520106434822,-0.09655417129397391,-0.017006991896778345,-0.0001138448715209961,0.016600906383246183,0.09739333316683757,0.21709867477416994,0.5874547958374023
part_pt_log,Hbb,50000,2.094905376434326,0.3243443965911865,0.9485662579536438,1.3974647402763367,1.5808533787727357,1.8660087287425995,2.0843520164489746,2.3151198625564575,2.6459883451461788,2.8653735446929938,3.318298101425171
part_e_log,Hbb,50000,2.1020798683166504,0.3855941593647003,0.8900408744812012,1.3009921252727508,1.500057005882263,1.8272985219955444,2.0840532779693604,2.3553481101989746,2.770432674884796,3.0569044494628916,3.595668077468872
part_logptrel,Hbb,50000,2.0845582485198975,0.29997316002845764,1.0555458068847656,1.4369662272930146,1.6040897846221924,1.8738840222358704,2.0745822191238403,2.287788152694702,2.59599130153656,2.7906022691726684,3.2252848148345947
part_logerel,Hbb,50000,2.0718111991882324,0.3035987317562103,1.0271233320236206,1.414675805568695,1.5848480105400085,1.8573769629001617,2.0628780126571655,2.277936637401581,2.587393295764922,2.7802369832992557,3.229747772216797
raw_dR,Hbb,50000,0.12682698667049408,0.06829330325126648,0.0012645575916394591,0.017376175988465546,0.0364817637950182,0.07796402461826801,0.1168891042470932,0.16362502798438072,0.24997453615069376,0.33475231885910073,0.7026382684707642
charge,Hbb,50000,-5.999999848427251e-05,0.733253002166748,-1.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,1.0,1.0
isChargedHadron,Hbb,50000,0.4332199990749359,0.49552029371261597,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
isNeutralHadron,Hbb,50000,0.2275799959897995,0.41927000880241394,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
isPhoton,Hbb,50000,0.23476000130176544,0.4238487482070923,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
