feature,class,count,mean,std,min,p01,p05,p25,p50,p75,p95,p99,max
part_pt_log,QCD,177144,0.1351073682308197,0.9084889888763428,-2.559725522994995,-1.313148978948593,-1.1279494166374207,-0.559769943356514,0.004778438713401556,0.7140307277441025,1.852004009485245,2.515683338642121,3.437124013900757
part_e_log,QCD,177144,0.17215374112129211,0.9109394550323486,-1.9873549938201904,-1.3892163455486297,-1.1176496922969819,-0.5169835984706879,0.03871900960803032,0.7447033673524857,1.889875668287278,2.574435234069827,3.76485276222229
part_logptrel,QCD,177144,0.10854889452457428,0.9105724096298218,-2.4939522743225098,-1.4272517454624176,-1.156573760509491,-0.5829368978738785,-0.01881635095924139,0.6891906261444092,1.8235270619392396,2.482795732021332,3.246598720550537
part_logerel,QCD,177144,0.11208447068929672,0.9015076160430908,-2.1838409900665283,-1.3975229859352112,-1.1418821692466736,-0.5737650245428085,-0.02018103562295437,0.6821410208940506,1.8185427367687226,2.477900469303132,3.243572235107422
part_deltaR,QCD,177144,0.04432322829961777,0.8379456996917725,-0.7993422746658325,-0.7789606618881225,-0.7449749082326889,-0.5849665254354477,-0.2645469009876251,0.431420236825943,1.8393287777900702,2.335948715209961,5.0
charge,QCD,177144,0.0036580408923327923,0.7008988857269287,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0
isChargedHadron,QCD,177144,0.4859549403190613,0.49980267882347107,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
isNeutralHadron,QCD,177144,0.10852187871932983,0.31103840470314026,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
isPhoton,QCD,177144,0.40020549297332764,0.4899398386478424,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
isElectron,QCD,177144,0.004386262036859989,0.06608345359563828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
isMuon,QCD,177144,0.0009314456256106496,0.030505379661917686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
d0_tanh,QCD,177144,0.00028371516964398324,0.1716851443052292,-1.0,-0.9995184826850891,-0.04729392938315869,0.0,0.0,0.0,0.04849217385053637,0.999664056301117,1.0
d0err_clip,QCD,177144,0.01586519367992878,0.02929261326789856,0.0,0.0,0.0,0.0,0.0,0.023600000888109207,0.05530000105500221,0.12300000339746475,0.6970000267028809
dz_tanh,QCD,177144,0.00032210731296800077,0.186044842004776,-1.0,-0.9956013411283493,-0.10148043558001518,0.0,0.0,0.0,0.10345418490469463,0.9962581324577332,1.0
dzerr_clip,QCD,177144,0.040531523525714874,0.09159436821937561,0.0,0.0,0.0,0.0,0.0,0.04500000178813934,0.13989999890327454,0.436599999666214,1.0
d_eta,QCD,177144,0.0009675404871813953,0.2214016318321228,-2.8107738494873047,-0.6354870504140854,-0.35931787192821507,-0.06854103319346905,0.00043895095586776733,0.0710538998246193,0.3608797416090966,0.6283890032768261,3.1094141006469727
d_phi,QCD,177144,-0.00045452272752299905,0.20585903525352478,-1.0251235961914062,-0.6168046683073044,-0.36675370633602145,-0.07168212719261646,-0.00013090670108795166,0.07091772183775902,0.36653969138860715,0.6094192689657216,0.9634348750114441
part_pt_log,Hbb,200000,0.1593078374862671,0.8378903865814209,-2.393465280532837,-1.2789608132839203,-1.085587590932846,-0.48700013756752014,0.08085798844695091,0.7327762246131897,1.6609997034072874,2.206449577808381,3.23160719871521
part_e_log,Hbb,200000,0.1862594187259674,0.8465713858604431,-1.9384509325027466,-1.367306489944458,-1.0813296020030976,-0.45931538194417953,0.1046328991651535,0.7600797414779663,1.7016237795352935,2.2757744979858403,3.506913423538208
part_logptrel,Hbb,200000,0.1448531448841095,0.8364962339401245,-2.444976568222046,-1.359543559551239,-1.0987519979476927,-0.4965757802128792,0.06928596273064613,0.7185064852237701,1.6406499803066241,2.1736067056655908,3.0665338039398193
part_logerel,Hbb,200000,0.1447175145149231,0.8293372392654419,-2.0591092109680176,-1.3454849827289581,-1.0893730103969574,-0.4914852902293205,0.06740591302514076,0.7115432918071747,1.6284217059612274,2.1639666080474855,3.060772657394409
part_deltaR,Hbb,200000,0.1135484054684639,0.672333836555481,-0.7978777289390564,-0.7151587551832199,-0.6125628471374511,-0.35744713246822357,-0.06438666582107544,0.3833748400211334,1.5297245502471921,2.2173432970047,5.0
charge,Hbb,200000,0.000805000017862767,0.6958838701248169,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0
isChargedHadron,Hbb,200000,0.4636099934577942,0.49867403507232666,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
isNeutralHadron,Hbb,200000,0.09914500266313553,0.298856645822525,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
isPhoton,Hbb,200000,0.416159987449646,0.49292075634002686,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
isElectron,Hbb,200000,0.011880000121891499,0.10834604501724243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
isMuon,Hbb,200000,0.0088900001719594,0.0938667580485344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
d0_tanh,Hbb,200000,-0.0005646612262353301,0.2363535463809967,-1.0,-0.9999883222579956,-0.28195585608482354,0.0,0.0,0.0,0.27173299044370564,0.9999917161464691,1.0
d0err_clip,Hbb,200000,0.013988923281431198,0.02481391280889511,0.0,0.0,0.0,0.0,0.0,0.021400000900030136,0.04879999905824661,0.10090000182390213,0.6970000267028809
dz_tanh,Hbb,200000,-0.0008093744399957359,0.2643566429615021,-1.0,-0.9996895670890809,-0.40110993832349756,0.0,0.0,0.0,0.3940341979265207,0.9994670826196671,1.0
dzerr_clip,Hbb,200000,0.035224322229623795,0.07659472525119781,0.0,0.0,0.0,0.0,0.0,0.04430000111460686,0.11169999837875366,0.3711000084877014,1.0
d_eta,Hbb,200000,0.0010335949482396245,0.20541463792324066,-2.884481906890869,-0.5499059015512466,-0.3099036067724228,-0.10290123522281647,0.00019407272338867188,0.1050456166267395,0.31336580812931014,0.5590643411874779,2.8844659328460693
d_phi,Hbb,200000,0.0013535399921238422,0.2007155418395996,-0.7971356511116028,-0.562722190618515,-0.32561270892620087,-0.10604780912399292,-0.0001399517059326172,0.10712025500833988,0.33737451583147016,0.5596700727939616,0.8308439254760742
part_pt_log,Hcc,192572,0.18241067230701447,0.8632068634033203,-3.006272077560425,-1.2860062420368195,-1.0904353499412536,-0.4819500669836998,0.09334275498986244,0.7661789208650589,1.744722276926039,2.297066068649295,3.3504538536071777
part_e_log,Hcc,192572,0.2174486219882965,0.8717143535614014,-2.17501163482666,-1.3667704010009765,-1.0717606902122496,-0.44667018204927444,0.12316019460558891,0.8014946132898331,1.8010284662246687,2.384985644817354,3.554915189743042
part_logptrel,Hcc,192572,0.1700514853000641,0.862114429473877,-3.088423728942871,-1.364361777305603,-1.0995056569576263,-0.48927614092826843,0.08495054021477699,0.7546352297067642,1.7298946738243102,2.2617780137062073,3.16353440284729
part_logerel,Hcc,192572,0.1681843400001526,0.8552373051643372,-2.1651759147644043,-1.349565190076828,-1.0897531747817992,-0.4865047037601471,0.0793459415435791,0.7472015619277954,1.7203935384750357,2.254568560123444,3.141706705093384
part_deltaR,Hcc,192572,0.13352543115615845,0.6844393610954285,-0.7985743880271912,-0.710451774597168,-0.6067862510681152,-0.349137045443058,-0.05365118384361267,0.4192975163459778,1.5640390396118133,2.2406484222412133,5.0
charge,Hcc,192572,0.00029599317349493504,0.6968799233436584,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0
isChargedHadron,Hcc,192572,0.4740200936794281,0.4993245303630829,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
isNeutralHadron,Hcc,192572,0.10800116509199142,0.3103819191455841,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
isPhoton,Hcc,192572,0.4063571095466614,0.4911527633666992,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
isElectron,Hcc,192572,0.007218079641461372,0.08465210348367691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
isMuon,Hcc,192572,0.00440354784950614,0.066212959587574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
d0_tanh,Hcc,192572,0.00018113586702384055,0.18011806905269623,-1.0,-0.9999407678842545,-0.06383438967168331,0.0,0.0,0.0,0.06401865296065802,0.9999704879522323,1.0
d0err_clip,Hcc,192572,0.014279319904744625,0.02585097774863243,0.0,0.0,0.0,0.0,0.0,0.021400000900030136,0.052400000393390656,0.10090000182390213,0.6970000267028809
dz_tanh,Hcc,192572,0.0005758499610237777,0.1955101191997528,-1.0,-0.9977740675210953,-0.12743858024477958,0.0,0.0,0.0,0.13171392530202866,0.9982443994283677,1.0
dzerr_clip,Hcc,192572,0.036464542150497437,0.0802004411816597,0.0,0.0,0.0,0.0,0.0,0.04430000111460686,0.11990000307559967,0.3711000084877014,1.0
d_eta,Hcc,192572,0.000591072894167155,0.2105528712272644,-2.8639166355133057,-0.563930070400238,-0.32017613500356673,-0.10566509515047073,-0.0008285492658615112,0.10551644489169121,0.32720733284950226,0.5648362123966228,3.02579402923584
