feature,class,count,mean,std,min,p01,p05,p25,p50,p75,p95,p99,max
part_pt_log,QCD,5000,2.323345422744751,0.39443835616111755,1.0744439363479614,1.3975814509391784,1.6511257410049438,2.0426769852638245,2.338985562324524,2.6058491468429565,2.9483946204185485,3.1693061685562136,3.437124013900757
part_e_log,QCD,5000,2.336212158203125,0.44577038288116455,0.9219636917114258,1.3263425529003143,1.6169490277767182,2.0243040323257446,2.3349426984786987,2.6408960819244385,3.083860063552857,3.3545364189147957,3.76485276222229
part_logptrel,QCD,5000,2.3035192489624023,0.3765471279621124,1.1568225622177124,1.414071570634842,1.6640334010124207,2.0473764538764954,2.316944718360901,2.5772451758384705,2.9032275676727295,3.0842459511756903,3.246598720550537
part_logerel,QCD,5000,2.295983076095581,0.3807695806026459,1.1219546794891357,1.3938918972015382,1.6373202741146087,2.038082718849182,2.311736822128296,2.5689494013786316,2.89809377193451,3.083741638660431,3.243572235107422
raw_dR,QCD,5000,0.05840640142560005,0.07047557830810547,0.00018925276526715606,0.0017568710236810147,0.004001600341871381,0.013251410098746419,0.03204627335071564,0.07496067136526108,0.20650431662797933,0.3514418074488643,0.5449936389923096
charge,QCD,5000,0.03959999978542328,0.70571368932724,-1.0,-1.0,-1.0,0.0,0.0,1.0,1.0,1.0,1.0
isChargedHadron,QCD,5000,0.4950000047683716,0.4999749958515167,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
isNeutralHadron,QCD,5000,0.21240000426769257,0.40900638699531555,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
isPhoton,QCD,5000,0.2879999876022339,0.45283111929893494,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
isElectron,QCD,5000,0.0026000000070780516,0.05092386156320572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
isMuon,QCD,5000,0.0020000000949949026,0.04467661306262016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
d0_tanh,QCD,5000,-4.0410996007267386e-05,0.0745076984167099,-1.0,-0.030727148614823816,-0.0152383366599679,-1.198826953441312e-05,0.0,0.0,0.016058323066681642,0.05438488535583021,1.0
d0err_clip,QCD,5000,0.0054501998238265514,0.005516155622899532,0.0,0.0,0.0,0.0,0.0,0.010999999940395355,0.013000000268220901,0.014399999752640724,0.016499999910593033
dz_tanh,QCD,5000,0.0012793621281161904,0.06393493711948395,-0.9291548132896423,-0.1054635977745056,-0.04620496071875095,0.0,0.0,0.001543747348478064,0.048667781427502645,0.13074100092053417,0.9997026324272156
dzerr_clip,QCD,5000,0.01816358044743538,0.021114138886332512,0.0,0.0,0.0,0.0,0.0,0.03180000185966492,0.037700001150369644,0.08500000089406967,0.08500000089406967
d_eta,QCD,5000,-0.0023864624090492725,0.06641332805156708,-0.45362403988838196,-0.2200703293085098,-0.10204152464866637,-0.019095471128821373,-0.0004948675632476807,0.016819775104522705,0.0918592393398285,0.20818710684776331,0.43688732385635376
d_phi,QCD,5000,-0.00015985494246706367,0.06294174492359161,-0.5015054941177368,-0.19679102674126625,-0.09429246634244919,-0.017572046257555485,-0.00017705559730529785,0.016424625646322966,0.09388045668601991,0.20144546464085616,0.4699375629425049
part_pt_log,Hbb,5000,2.0978660583496094,0.3227890133857727,1.0834698677062988,1.418728907108307,1.586134421825409,1.8664007782936096,2.0869290828704834,2.3121350407600403,2.6555672883987427,2.8603619670867926,3.23160719871521
part_e_log,Hbb,5000,2.106726884841919,0.3825184106826782,0.9108217358589172,1.327534201145172,1.5062362492084505,1.8310334384441376,2.0939337015151978,2.356923997402191,2.763829374313355,3.074224133491517,3.506913423538208
part_logptrel,Hbb,5000,2.0862691402435303,0.2986038327217102,1.1366078853607178,1.456858868598938,1.6118567705154419,1.8738840222358704,2.0759825706481934,2.2888907194137573,2.5973805665969847,2.798087959289551,3.0665338039398193
